ENGLISH SENTENCES	ARABIC SENTENCES	BANGLA SENTENCES	CHINESE SENTENCES	FRENCH SENTENCES	HATIAN CREOLE SENTENCE	MALAY SENTENCES	B_PORTUGUESE SENTENCES	RUSSIAN SENTENCES	SPANISH SENTENCES	SWAHILI  SENTENCES	TAMIL SENTENCES	THAI SENTENCES	URDU SENTENCE
He is a big man.	إنـهُ رجـلٌ كـبـيـر	সে একজন বিশাল মানুষ	他一是个强壮的男人。	C'est un grand homme.	Li se yon gwo nonm/Gason.	Dia lelaki besar.	Ele é um grande homem.	Он крупный мужчина.	Él es un adulto.	Yeye / Yule ni mwanaume mkubwa / mnene	அவர் ஒரு பெரிய மனிதர்.	เขาเป็นชายร่างใหญ่	وہ بڑا آدمی ہے۔
I want to but I can’t.	إنـنـي أُريـد ذلك ولـكـنـنـي لا أستطيع	আমি চাই কিন্তু আমি পারিনা	我想，但是我不能。	Je veux mais je ne peux pas.	Mwen vle men m' pa kapab.	Saya mahu tetapi saya tidak boleh.	Eu quero, mas não posso.	Я хочу, но не могу.	Me gustaría, pero no puedo.	Nataka ila siwezi.	நான் விரும்புகிறேன் ஆனால் என்னால் முடியாது.	ฉันต้องการ แต่ฉันทำไม่ได้	میں کرنا چاہتا ہوں لیکن میں نہیں کر سکتا۔
I did it.	لـقـد فـَعَّلـتُـهـا	আমি এইটা করেছি	我做到了。	Je l'ai fait.	Mwen te fè l'.	Saya berjaya.	Eu fiz isso.	Я это сделал.	Yo lo hice.	Nilikifanya / Nilifanya	நான் அதை செய்தேன்.	ฉันทำมัน	میں نے کر دکھایا۔
This is the end.	إنـهـا الـنـهـايـة	এইটাই শেষ	这是结尾。	C'est la fin.	Se fini/Sa a fini.	Inilah pengakhirannya.	Este é o fim.	Это конец.	Este es el fin.	Huu ndio mwisho	இது தான் முடிவு.	นี่คือจุดจบ	یہ اختتام ہے.
A fish can swim.	الـسـمـكـة تـسـتـطــيـع الـسـبـاحـة	মাছ সাঁতার কাটতে পারে	 鱼可以游泳。	Un poisson peut nager.	Yon pwason kapab naje.	Seekor ikan boleh berenang.	Um peixe pode nadar.	Рыба умеет плавать.	El pez nada (del verbo nadar).	Samaki anaweza kuogelea	ஒரு மீனால் நீந்த முடியும்.	ปลาสามารถว่ายน้ำ	ایک مچھلی تیر سکتی ہے۔
How did you get it?	كـيـف حـصـلـت عـلـيـهـا	আপনি কিভাবে এটা পেলেন	你是如何得到它的？	Comment tu l'as eu ?	Kòman w' te fè genyen l'?	Bagaimana anda memperolehnya?	Como você conseguiu isso?	Как ты его получил?	¿Cómo lo lograste?	Ulikipata / Uliupata / Ulimpata (mnyama) vipi	அதை நீங்கள் எப்படி அடைந்தீர்கள்?	คุณได้รับมาได้อย่างไร	آپ کو یہ کیسے ملا؟
I got one.	لـقـد حـصـلـتُ على واحـدة	আমি একটা পেয়েছি	我得到过一个。	J'en ai obtenu un.	Mwen te gen youn.	Saya mendapat satu.	Eu tenho um.	Я получил один.	Conseguí uno.	Nimepata moja	எனக்கு ஒன்று கிடைத்தது.	ฉันได้รับหนึ่ง	مجھے ایک مل گیا۔
I had one.	لـدي واحـدة	আমার একটা ছিল	我有过一个。	J'en avais un.	Mwen te gen youn.	Saya mempunyai satu.	Eu tive um.	У меня был один.	Yo tenía uno.	Nilikuwa moja	என்னிடம் ஒன்று இருந்தது.	ฉันเคยมีหนึ่ง	میرے پاس ایک تھا۔
Give him one.	أعـطــيـهِ واحـدة	তাকে একটা দাও	给他一个。	Donne-lui en un.	Ba li youn.	Beri dia satu.	Dê a ele um.	Дай ему одну.	Denle uno a él.	Mpe moja	அவருக்கு ஒன்று கொடுங்கள்.	ให้เขาหนึ่ง	اُسے ایک دے دیں۔
The food is hot.	الـطـعـامُ سـاخـن	খাবার গরম	这个食品很辣（或者很热）。	La nourriture est chaude.	Manje a cho.	Makanannya panas.	A comida está quente.	Еда горячая.	La comida está caliente.	Kile chakula ni cha moto	உணவு சூடாக இருக்கிறது.	อาหารร้อนจัด	کھانا گرم ہے۔
The bird is in its nest.	الـطيـر فـى عـِشـَّهُ	পাখি খাঁচার ভেতর	 那只鸟在鸟巢里。	L'oiseau est dans son nid.	Zwazo a nan nich li.	Burung itu berada di sarangnya.	O pássaro está em seu ninho.	Птица в своем гнезде.	El pájaro está en su nido.	Yule ndege yuko kiotani kwake	பறவை அதன் கூட்டில் உள்ளது.	นกอยู่ในรังของมัน	پرندہ اپنے گھونسلے میں ہے۔
Let me see.	دعـنـي أرى	আমাকে দেখতে দাও	让我看一看。	Laissez-moi voir.	Ban m' wè/Kite m' wè.	Biar saya lihat.	Deixe-me ver.	Дайте-ка подумать.	Permítanme ver.	Acha / Ngoja nione	நான் பார்க்கிறேன்.	ให้ฉันดู	مجھے دیکھنے دیں۔
That man is nice.	الـرجـل لـطـيـف	মানুষটি দেখতে সুন্দর	那个男人很好。	Cet homme est gentil.	Nonm sa a janti./Gason sa a janti.	Lelaki itu baik.	Esse homem é bom.	Этот человек хороший.	Ese hombre es agradable.	Yule mwanaume ni mzuri	அவர் ஒரு அருமையான மனிதர்.	ผู้ชายคนนั้นดี	وہ آدمی اچھا ہے۔
I see ten men.	أنـا أرى عـشـرةُ رجـال	আমি ১০ জন মানুষ কে দেখলাম	我看见个男人。	Je vois dix hommes.	Mwen wè dis (10) gason.	Saya melihat sepuluh lelaki.	Eu vejo dez homens.	Я вижу десять человек.	Veo diez hombres.	Naona wanaume kumi	நான் பத்து ஆண்களைப் பார்க்கிறேன்.	ฉันเห็นผู้ชายสิบคน	میں دس آدمی دیکھتا ہوں۔
How much did you get?	كـم حـصـَّلـت؟	তুমি কত পেলে	你得到了多少钱？	Combien as-tu obtenu ?	Konbyen ou te jwenn?	Berapa banyak yang anda dapat?	Quanto você conseguiu?	Сколько ты получил?	¿Cuánto conseguiste?	Ulipata ngapi?	உங்களுக்கு எவ்வளவு கிடைத்தது?	คุณได้เท่าไหร่	آپ کو کتنا ملا؟
It is not a lot.	إنـهُ لـيـس بـكـثـيـر	এইটা অনেক না	不太多。	Ce n'est pas beaucoup.	Li pa anpil.	Ia tidak banyak.	Não é muito.	Это не много.	Eso no es mucho.	Sio nyingi / kingi	இது அதிகம் அல்ல.	มันไม่มาก	یہ بہت زیادہ نہیں ہے۔
That man ran far.	هذا الـرجـل ركـض بـعـيـدًا	মানুষটি দূরে দৌড়ে গেল	那个男人跑得很远。	Cet homme a couru loin.	Nonm sa a te kouri lwen.	Lelaki itu berlari jauh.	Esse homem correu muito.	Этот человек далеко убежал.	Ese hombre corrió lejos.	Yule mwanaume alikimbia mbali	அந்த மனிதர் வெகுதூரம் ஓடினார்.	ผู้ชายคนนั้นวิ่งไปไกล	وہ آدمی دُور بھاگ گیا۔
I have a red car.	أنـا لـدي سـيـارة حـمــراء	আমার একটি লাল গাড়ি আছে	我有一辆红色的车。	J'ai une voiture rouge.	Mwen gen yon machin wouj.	Saya mempunyai kereta merah.	Eu tenho um carro vermelho	У меня красная машина.	Yo tengo un carro rojo.	Nina gari jekundu	என்னிடம் சிகப்பு நிற கார் உள்ளது.	ฉันมีรถสีแดง	میرے پاس ایک سُرخ کار ہے۔
Run to her.	أُركُّـضْ إلـيـهـا	তার কাছে যাও	朝她跑去。	Cours vers elle.	Kouri al jwenn li.	Lari ke arahnya.	Corra para ela.	Беги к ней.	Corre a ella.	Mkimbilie huyo dada/binti/mama	அவளிடம் ஓடுங்கள்.	วิ่งไปหาเธอ	اس کی طرف دوڑیں۔
The sun is hot.	الـشـمـس حـارة.	সূর্য টি গরম	太阳很火辣。	Le soleil est chaud.	Solèy la cho.	Matahari terik.	O sol é quente.	Солнце жаркое.	El sol es caliente.	Jua ni kali	 சூரியன் வெப்பமாக உள்ளது.	ดวงอาทิตย์ร้อน	سورج گرم ہے۔
Set it down.	قُـم بـتـجـهـيـزه / قُـم بتـدويـنـه.	বস	把它安置好。	Fixe-le par terre.	Depoze l'.	Tetapkan.	Coloque-o.	Поставить это.	Instálenlo.	Kiweke chini	அதை கீழே வைக்கவும்.	วางลง	اسے ترتیب دیں۔ 
It is such a nice day.	يـالـهُ مـن يـومٍ جـمـيـل.	এইটা একটা সুন্দর দিন	今天的天气可真好啊。	C'est une si belle journée.	Li tankou yon bon jounen.	Ia adalah hari yang baik.	É um dia tão bom	Такой хороший день.	Es un lindo día.	Ni siku nzuri sana	இது ஒரு அருமையான நாள்.	มันเป็นวันที่ดี	یہ کتنا اچھا دن ہے۔
Ten men ran by.	ركـضَ عـشـر رجـال.	দুজন মানুষ দৌড়ে চলে গেল	个男人从旁边跑过	Dix hommes sont passés en courant.	Dis (10) gason te kouri.	Sepuluh lelaki berlari.	Dez homens passaram correndo.	Мимо пробежали десять человек.	Diez hombres pasaron corriendo.	Wanaume kumi walipita wakikimbia	பத்து ஆண்கள் ஓடினார்கள்.	ผู้ชายสิบคนวิ่งผ่าน	دس آدمی دوڑے۔
Put the top on it.	ضع الجزء العلوي عليها.	এইটা উপরে রাখ	把上面的	Mets le haut sur elle.	Mete sa ki anlè a sou li.	Letakkan bahagian atasnya.	Coloque a tampa nele.	Положи его на верх.	Tápalo.	Weka upande wa juu juu yake	அதற்கு மேலே வையுங்கள்.	"
ใส่ข้างบน"	اس پراُوہر کی سطح لگائیں۔
Come with me.	تـعـالـى مـعـي.	আমাদের সাথে আসো	跟我来。	Venez avec moi.	vini avèk mwen.	Ikut aku.	Venha comigo.	Иди со мной.	Ven conmigo.	Njoo na mimi	என்னுடன் வாருங்கள்.	มากับฉัน	میرے ساتھ آئیں
It is more than I want.	إنـهُ أكـثـر مـمـا أردت.	আমি যা চাই এইটা তার থেকে বেশি	这比我想要的多。	C'est plus que je ne veux.	Li plis ke/pase sa m' te vle a.	Ia lebih dari yang saya mahukan.	É mais do que eu quero.	Больше, чем я хочу.	Eso es más de lo que yo quiero.	Ni zaidi ya ninachotaka	இது நான் விரும்பியதை விட அதிகம்.	มันเป็นมากกว่าที่ฉันต้องการ	یہ میری خواہش کے مقابلے میں زیادہ ہے۔
That is nice.	هـذا لـطـيـف.	ওইটা সুন্দর	那个很好。	C'est bien.	Sa a bèl.	Itu bagus.	Isso é bom.	Это хорошо.	Eso es agradable.	Ni vizuri	அது நல்லது.	นั่นเป็นสิ่งที่ดี	وہ بہت اچھا ہے۔
Give it to them.	أعـطـيـهِ لـهـم.	এইটা তাদেরকে দাও	把这个给他们。	Donne-le-leur.	Ba yo li./Ba yo l'.	Berikan kepada mereka.	Dê isso a eles.	Дать им.	Dénselo a ellos.	Wape hao / wale	இதை அவர்களிடம் கொடுங்கள்.	มอบให้พวกเขา	اُنہیں یہ دے دو۔
Then you can go.	ثـم تـسـطـيـع أن تـذهـب.	তারপর তুমি যেতে পারো	然后你可以走了。 	Ensuite, tu pourras partir.	Alò ou ka ale.	Kemudian anda boleh pergi.	Então você pode ir.	Тогда можешь идти.	Luego, pueden irse.	Halafu unaweza kwenda	பிறகு நீங்கள் போகலாம்.	จากนั้นคุณสามารถไปได้	پھر آپ جا سکتے ہیں۔
This is it.	هـذا هـو	এই হল	这就是它。	"Voilà, c'est ça./C'est ça./
C'est là./
On y est."	Sa a se li.	Inilah dia.	É isso.	Это оно.	Esto es. 	Hii ndio / Hiki ndicho	இது தான் முடிவு.	นี่ไง	یہ ہی تھا۔
Do your best.	أفـعـل أفـضـل مـا لـديـك.	তোমার সর্বোত্তম করো	尽你最大的努力。	Fais de ton mieux.	Fè sa w' kapab.	Buat yang terbaik.	Faça o seu melhor.	Постарайся.	Haz lo mejor que puedas.	Jitahidi	உங்களுடைய சிறந்த ஒன்றை அளியுங்கள்.	ทำให้ดีที่สุด	اپنی طرف سے بہترین کرنا۔
He ran fast.	إنـهُ يـركُـض سـريـعـًا.	সে দ্রুত দৌড়ে চলে গেল	他跑得很快。	Il a couru vite.	Li te kouri vit/rapid.	Dia berlari pantas.	Ele correu rápido.	Он быстро бежал.	El corrió veloz.	Alikimbia haraka	அவர் வேகமாக ஓடினார்.	เขาวิ่งเร็ว	وہ تیزی سے بھاگا۔
I just want one.	أنا أريد فقط واحدة	আমি শুধুমাত্র একটি চাই	我只想要一个。	J'en veux juste un.	Mwen jis vle youn.	Saya hanya mahukan satu.	Eu só quero um.	Я просто хочу одну.	Yo sólo quiero uno.	Nataka kimoja tu	எனக்கு ஒன்று மட்டும் வேண்டும்.	ฉันแค่ต้องการหนึ่ง	مجھے صرف ایک چاہیئے۔
This is the last one.	هـذه أخـر واحـدة	এইটাই শেষ	这是最后一个。	C'est le dernier.	Sa a se dènye a.	Ini adalah yang terakhir.	Este é o último.	Это последний.	Este es el último.	Hiki ni cha mwisho	இது கடைசி ஒன்றாகும்.	นี่คืออันสุดท้าย	یہ آخری ہے۔
Make a list	إنـشـىء قـائـمـة	একটা তালিকা তৈরি করো	列一张表。	Fais une liste	Fè yon lis	Membuat senarai	Faça uma lista	Составить список	Haz una lista.	Tengeneza orodha	ஒரு பட்டியல் தயார் செய்யுங்கள்	ทำรายการ	ایک فہرست بنائیں۔
I must go now.	يـجـب عـلـي أن أذهـب الآن	আমাকে এখনই যেতে হবে	我现在必须得走了。	Je dois partir maintenant.	Fòk mwen ale kounye a.	Saya harus pergi sekarang.	Preciso ir agora.	Я должен идти.	Debo irme ahora.	Inabidi niende sasa	நான் இப்போது கண்டிப்பாக போக வேண்டும்.	ฉันต้องไปตอนนี้	مجھے اب جانا چاہئے۔
He ran past it.	ركض مـارًا بـهـا	তিনি এটি বেরিয়ে গেলেন	他跑过它旁边。	Il a couru devant.	Le te devanse l'./ Li te kouri pi vit pase l'.	Dia berlari melewatinya.	Ele passou correndo.	Он пробежал мимо него.	Él lo pasó corriendo.	Aliipita akikimbia	அவர் அதை கடந்து ஓடினார்.	เขาวิ่งผ่านมัน	وہ اُس کے پیچھے بھاگا۔
We need to rest.	نـحـتـاج للـراحـة.	আমাদের বিশ্রাম নিতে হবে	我们需要休息。	Nous devons nous reposer.	Nou bezwen repoze	Kita perlu berehat.	Precisamos descansar.	Нам нужно отдохнуть.	Necesitamos descansar.	Tunahitaji kupumzika	நாம் ஓய்வெடுக்க வேண்டும்.	เราต้องพักผ่อน	ہمیں آرام کرنے کی ضرورت ہے۔
I left it on the table.	لـقـد تـركـتـها على الـمـنـضـدة.	আমি এইটা টেবিলের উপর রেখেছি	我在桌子上留下了一个。	Je l'ai laissé sur la table.	Mwen te kite l' sou tab la.	Saya tinggalkan di atas meja.	Eu deixei sobre a mesa.	Я оставил его на столе.	Lo dejé encima de la mesa.	Niliiacha / Nilikiacha juu ya meza	நான் அதை மேஜையின் மேல் விட்டுவிட்டேன்.	ฉันทิ้งไว้บนโต๊ะ	میں نے اسے میز پر چھوڑ دیا۔
Tell me more.	أخـبـرنـي أكـثـر.	আমাকে আরো বল	跟我多说一点。	Dis-moi en plus.	Di mwen plis.	Beritahu saya lagi.	Me diga mais.	Расскажи мне больше.	Dime más.	Niambie zaidi	எனக்கு மேலும் சொல்லுங்கள்.	บอกรายละเอียดฉันเพิ่มเตืม	مجھے مزید بتائیں۔
This land is farmland.	هـذه الأرض زراعـيـة	এই জমিটি কৃষি জমি	这块地是田地。	Cette terre est une terre agricole.	Tè sa a se yon tè agrikòl.	Tanah ini adalah tanah pertanian.	Esta terra é uma fazenda.	Это земля - сельхозугодья.	Esta tierra es de cultivo.	Hii ardhi ni ya kilimo	இந்த நிலம் ஒரு விவசாய நிலம்.	ที่ดินผืนนี้เป็นพื้นที่เพาะปลูก	یہ زمین مضروعہ زمین ہے۔
Raise your hand.	أرفـع يـدك	হাত উপরে উঠাও	把你的头抬起来。	Levez votre main.	Leve men w'.	Angkat tangan anda.	Levante sua mão.	Подними свою руку.	Levanten la mano.	Inua mkono wako	உங்கள் கையை உயர்த்துங்கள்.	ยกมือขึ้น	اپنے ہاتھ اُٹھائیں۔
He held his hand up.	لـقـد رفـع يـديـهِ عـالـيـًا.	সে তার হাত ওপরে ওঠালো	他把他得头抬了起来。	Il a levé sa main.	Li te leve men l'./ te kenbe men l' anlè.	Dia mengangkat tangannya ke atas.	Ele ergueu a mão.	Он поднял руку.	Él mantuvo su mano en alto.	Aliinua mkono wake	அவர் தனது கையை உயர்த்திப் பிடித்திருந்தார்.	เขายกมือขึ้น	اس نے اپنا ہاتھ اُوپر رکھا۔
Help me do this.	سـاعـدنـي أن أفـعـل هـذا.	আমাকে এটা করতে সাহায্য করো	帮助我做这个。	Aidez-moi à faire ça.	Ede m' fè sa a.	Tolong saya buat ini.	Me ajude a fazer isso.	Помоги мне это сделать.	Ayúdame con esto.	Nisaidie kufanya hiki / hichi	இதை செய்ய எனக்கு உதவுங்கள்.	ช่วยฉันทำสิ่งนี้	ایسا کرنے میں میری مدد کریں۔
It felt like a feather.	شـعـرتـهـا وكـأنـهـا بِـخـُـف الـريـشـة.	এইটা	它感觉像是一根羽毛。	C'était comme une plume.	Li te santi l' tankou yon plim.	Rasanya seperti bulu.	Parecia uma pena.	Оно было похоже на перышко.	Se sintió como una pluma.	Ilikua kama manyoya	இது ஒரு இறகு போல இருந்தது.	มันให้ความรู้สึกเหมือนขนนก	یہ ایک پَر کی طرح محسوس ہوا۔
He kept it all for himself.	لـقـد إحـتـفـظ بهِ كـليـًا لـنـفـسـهِ.	সে সবগুলো তার জন্য রেখে দিল	他把它全部占为己有。	Il a tout gardé pour lui.	Li te kenbe tout pou li.	Dia menyimpan semuanya untuk dirinya sendiri.	Ele guardou tudo para si.	Он все оставил себе.	Él se quedó con todo.	Alijiwekea yote	அவர் அதை முழுமையாக தனக்காக வைத்துக்கொண்டார்.	เขาเก็บทุกอย่างไว้เพื่อตัวเขาเอง	اس نے یہ سب اپنے لیے رکھا لیا۔
He went home.	لـقـد ذهـب للـمـنـزل.	সে বাড়ি চলে গেল	他回家了。	Il est rentré chez lui.	Li t'al lakay li.	Dia pulang ke rumah.	Ele foi para casa.	Он пошел домой.	Él se fue a casa.	Alienda nyumbani	அவர் வீட்டிற்கு சென்றார்.	เขากลับบ้าน	وہ گھر چلا گیا۔
Stop doing that.	تـوقـف عـن فـعـل هـذا.	এইটা করা বন্ধ করো	停下来。	Arrête de faire ça.	Sispann fè sa a.	Berhenti buat macam itu.	Pare de fazer isso.	Перестань это делать.	Para de hacer eso.	Acha kufanya hivyo	அதை செய்வதை நிறுத்தங்கள்.	หยุดทำอย่างนั้น	ایسا کرنا ترک کر دیں۔
Hold it with both hands.	إمـسـكـهُ بـكـلـتـا يـديـك.	এইটা দুই হাত দিয়ে ধরো	用双手握住它。	Tiens-le avec les deux mains.	Kenbe l' avèk de (2) men w'.	Pegang dengan kedua tangan.	Segure-o com as duas mãos.	Держи обеими руками.	Sostenlo con ambas manos.	Ishike kwa mikono miwili	இரண்டு கைகளாலும் இதை பிடியுங்கள்.	ถือด้วยมือทั้งสอง	اسے دونوں ہاتھوں سے پکڑیں۔
Stand right there.	قـف هـنـاك مـبـاشـرةً.	ঠিক ওইখানে দাঁড়াও	就站在那里。	Mets-toi là.	Ret kanpe la.	Berdiri di sana.	Fique bem aí.	Стой прямо там.	Párate ahí mismo.	Simama hapo hapo	சரியாக அங்கே நில்லுங்கள்.	ยืนอยู่ตรงนั้น	وہیں کھڑے ہو جائیں۔
I am growing plants.	أنـا أزرع الـنـبـاتـات.	আমি গাছ রোপন করছি	我在种植物。	Je fais pousser des plantes.	M'ap fè plant yo pouse.	Saya menanam tanaman.	Estou cultivando plantas.	Я выращиваю растения.	Estoy cultivando plantas.	Ninapanda mimea	நான் செடிகள் வளர்க்கிறேன்.	ฉันกำลังปลูกพืช	میں پودے اُگا رہا / رہی ہوں۔
Once upon a time I did.	قد فعلت فى يـومٍ من الأيـام.	একটা সময় এইটা করেছে	我曾有一次做过。	Il était une fois, je l'ai fait.	Te gen yon fwa m' te fè l'.	Pernah suatu ketika saya melakukannya.	Uma vez eu fiz.	Когда-то давным-давно я это сделал.	Hace tiempo lo hice.	Hapo zamani nilifanya	ஒரு காலத்தில் நான் அதை செய்தேன்.	กาลครั้งหนึ่งฉันทำ	ایک مرتبہ میں نے کیا۔
I can’t wait until it’s over.	لا أسـتـطـيـع الإنـتـظـار حتى الإنتهاء.	শেষ না হওয়া পর্যন্ত আমি অপেক্ষা করতে পারব না	我迫不及待地等它结束。	Je ne peux pas attendre que ce soit fini.	Mwen pa ka tann jiskaske l' fini.	Saya tidak sabar sehingga selesai.	Eu não posso esperar até que acabe.	Я не могу дождаться, пока все закончится.	No puedo esperar a que termine.	Siwezi subiri iishe	இது முடியும்வரை என்னால் காத்திருக்க முடியாது.	ฉันรอไม่ไหวแล้ว	میں اس کے ختم ہونے تک انتظار نہیں کر سکتا / سکتی۔
When was this given to you?	متى أُعـطـى لكَ هـذا؟	এটা আপনাকে কখন দেয়া হলো?	这是什么时候给到你手里地？	Quand est-ce qu'on te l'a donné ?	Kilè yo te ba w' sa a?	Bilakah ini diberikan kepada anda?	Quando isso foi dado a você?	Когда его тебе подарили?	¿Cuándo fue que te dieron esto?	Ulipewa lini?	இது உங்களுக்கு எப்போது வழங்கப்பட்டது?	มอบให้กับคุณเมื่อใด	یہ آپ کو کب دیا گیا؟
I cannot believe that.	لا يُمكنني أن أُصدق هذا.	আমি এটা বিশ্বাস করতে পারতেছিনা	我不能相信那。	Je ne peux pas le croire.	Mwen pa kapab kwe sa a.	Saya tidak mempercayainya.	Eu não acredito nisso.	Я не могу поверить в это.	Eso no puedo creerlo.	Siwezi kuamini	என்னால் அதை நம்ப முடியாது.	ฉันไม่อยากจะเชื่อ	میں اس پر یقین نہیں کر سکتا / سکتی۔
We will leave within an hour.	سوف نذهب فى خلال ساعة.	আমরা এক ঘণ্টার মধ্যে চলে যাব	我们会在一个小时内离开。	Nous partirons dans une heure.	Nou pral kite nan inè	Kami akan bertolak dalam masa satu jam.	Partiremos dentro de uma hora.	Мы уедем в течение часа.	Saldremos en una hora.	Tutaondoka ndani ya lisaa	நாம் ஒரு மணி நேரத்திற்குள் புறப்படுவோம்.	เราจะออกภายในหนึ่งชั่วโมง	ہم ایک گھنٹے کے اندر نکلیں گے۔
He did it all by himself.	لقد فعل كل شىءٍ بذاتهُ.	তুমি এটা নিজেই কিভাবে করলে	他是自己一个人做的。	Il a fait tout ça tout seul.	Li te fè tout pou kont li.	Dia melakukan semuanya sendiri.	Ele fez tudo sozinho.	Он все сделал сам.	Él hizo todo sin ayuda.  	Alifanya yote mwenyewe	அவர் எல்லாவற்றையும் தாமாகவே செய்தார்.	เขาทำมันเองทั้งหมด	اس نے یہ سب خود کیا۔
Can you solve this problem?	هل يُمكنك أن تحل هذه المشكلة؟	তুমি কি সমস্যাটির সমাধান করতে পারো?	你能解决这个问题吗？	Pouvez-vous résoudre ce problème ?	Eske w' ka rezoud pwoblèm sa a?	Bolehkah anda menyelesaikan masalah ini?	Você pode resolver este problema?	Ты можешь решить эту проблему?	¿Puedes resolver este problema?	Unaweza suluhisha hili tatizo	இந்த பிரச்சினையை உங்களால் தீர்க்க முடியுமா?	คุณช่วยแก้ปัญหานี้ได้ไหม?	کیا آپ اس مسئلے کو حل کر سکتے ہیں؟
It will take one hundred men.	سوف تتطلب لمئة رجل.	এইটা করতে হলে ১০০ জন মানুষ লাগবে	我会带上个男人。	Il faudra cent hommes.	Li pral prann 100 gason.	Ia akan memerlukan seratus lelaki.	Serão necessários cem homens.	Потребуется сто человек.	Me llevaré cien hombres.	Nitachukua wanaume mia moja	இதற்கு நூறு ஆண்கள் தேவை.	ต้องการใช้ผู้ชายหนึ่งร้อยคน	ایسا کرنے کے لئے ایک سو آدمی چاہئیے ہوں گے۔
The children are hungry.	إن الأطفال جـوعـى.	বাচ্চাগুলো ক্ষুধার্ত	孩子们很饥饿。	Les enfants ont faim.	Timoun yo pa kontan/ timoun yo fache.	Kanak-kanak lapar.	As crianças estão com fome.	Дети голодны.	Los niños tienen hambre.	Watoto wana njaa	குழந்தைகள் பசியாக உள்ளனர்.	เด็ก ๆ กำลังหิว	بچے بھوکے ہیں۔
